Data_Point,Test_Time(s),Test_Time(h),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Power(W),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Cycle_Time,Temperature (C)_1,Temperature (C)_2
1,60.00361624,0.016667671,04/24/2018 16:24:57,59.90952903,1,1,0,2.960056543,0,0,0,0,0,-6.03705E-05,0,0,0,0,0:00:59.910,20.30584335,19.27789688
2,120.0069047,0.033335251,04/24/2018 16:25:57,119.9128175,1,1,0,2.960056543,0,0,0,0,0,-6.0745E-05,0,0,0,0,0:01:59.913,20.11182213,19.53321457
3,180.0102219,0.050002839,04/24/2018 16:26:57,179.9161347,1,1,0,2.960056543,0,0,0,0,0,0,0,0,0,0,0:02:59.916,19.94857979,19.29554558
4,240.0135049,0.066670418,04/24/2018 16:27:57,239.9194177,1,1,0,2.960056543,0,0,0,0,0,-6.05993E-05,0,0,0,0,0:03:59.919,19.97939491,19.17669296
5,300.0190042,0.083338612,04/24/2018 16:28:57,299.924917,1,1,0,2.960361242,0,0,0,0,0,0,0,0,0,0,0:04:59.925,20.05851364,19.40570068
6,300.0950939,0.083359748,04/24/2018 16:28:57,300.0010068,1,1,0,2.960361242,0,0,0,0,0,0,0,0,0,0,0:05:00.001,20.05851364,19.40570068
7,300.1114372,0.083364288,04/24/2018 16:28:57,0.015819401,2,1,1.471984982,3.032864571,6.46831E-06,4.464331102,0,1.96175E-05,0,0,0,0,0,0,0:05:00.017,20.05851364,19.25602722
8,307.9241941,0.085534498,04/24/2018 16:29:05,7.828576045,2,1,1.471984982,3.083433867,0.003201991,4.538768346,0,0.009814012,0,0.004540899,0,0,0,0,0:05:07.830,20.05851364,19.25602722
9,323.3469135,0.089818587,04/24/2018 16:29:21,23.25129541,2,1,1.473770857,3.134003401,0.009511133,4.618802877,0,0.029436204,0,0.002906178,0,0,0,0,0:05:23.253,20.05851364,19.40570068
10,344.6918696,0.095747742,04/24/2018 16:29:42,44.59625156,2,1,1.473770857,3.184268236,0.018242948,4.692881727,0,0.057031287,0,0.002146317,0,0,0,0,0:05:44.598,19.90859985,19.48052979
11,374.2907169,0.103969644,04/24/2018 16:30:12,74.19509882,2,1,1.471984982,3.234533072,0.030351446,4.761184107,0,0.095908951,0,0.001452096,0,0,0,0,0:06:14.197,19.97023392,19.31769562
