  
       XFOIL         Version 6.96
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -12.500  -0.8056   0.04280   0.03995  -0.0822   1.0000   0.0188
 -12.250  -0.8431   0.03834   0.03530  -0.0811   1.0000   0.0188
 -12.000  -0.8624   0.03532   0.03205  -0.0782   0.9996   0.0190
 -11.750  -0.8498   0.03147   0.02773  -0.0810   0.9949   0.0196
 -11.500  -0.8300   0.02925   0.02525  -0.0826   0.9910   0.0200
 -11.250  -0.8037   0.02830   0.02424  -0.0838   0.9878   0.0204
 -11.000  -0.7744   0.02770   0.02360  -0.0851   0.9853   0.0207
 -10.750  -0.7444   0.02705   0.02290  -0.0866   0.9834   0.0212
 -10.500  -0.7194   0.02620   0.02193  -0.0872   0.9789   0.0216
 -10.250  -0.6939   0.02507   0.02064  -0.0880   0.9746   0.0222
 -10.000  -0.6670   0.02386   0.01922  -0.0890   0.9712   0.0228
  -9.750  -0.6427   0.02281   0.01797  -0.0892   0.9660   0.0234
  -9.500  -0.6172   0.02189   0.01685  -0.0895   0.9606   0.0239
  -9.250  -0.5903   0.02085   0.01561  -0.0901   0.9565   0.0243
  -9.000  -0.5677   0.01980   0.01447  -0.0898   0.9498   0.0248
  -8.750  -0.5414   0.01917   0.01378  -0.0899   0.9440   0.0253
  -8.500  -0.5153   0.01858   0.01313  -0.0899   0.9383   0.0258
  -8.250  -0.4904   0.01796   0.01241  -0.0896   0.9311   0.0262
  -8.000  -0.4642   0.01737   0.01171  -0.0895   0.9252   0.0268
  -7.750  -0.4394   0.01679   0.01102  -0.0891   0.9173   0.0273
  -7.500  -0.4136   0.01616   0.01026  -0.0889   0.9105   0.0278
  -7.250  -0.3885   0.01558   0.00957  -0.0884   0.9022   0.0282
  -7.000  -0.3626   0.01504   0.00890  -0.0881   0.8949   0.0286
  -6.750  -0.3370   0.01456   0.00833  -0.0877   0.8863   0.0289
  -6.500  -0.3107   0.01413   0.00779  -0.0874   0.8787   0.0292
  -6.250  -0.2850   0.01362   0.00719  -0.0871   0.8701   0.0297
  -6.000  -0.2597   0.01300   0.00651  -0.0867   0.8624   0.0304
  -5.750  -0.2336   0.01258   0.00604  -0.0864   0.8537   0.0309
  -5.500  -0.2072   0.01221   0.00561  -0.0861   0.8459   0.0315
  -5.250  -0.1807   0.01188   0.00522  -0.0858   0.8374   0.0320
  -5.000  -0.1540   0.01158   0.00486  -0.0856   0.8295   0.0326
  -4.750  -0.1272   0.01130   0.00452  -0.0853   0.8210   0.0332
  -4.500  -0.1002   0.01105   0.00420  -0.0851   0.8129   0.0339
  -4.250  -0.0733   0.01082   0.00390  -0.0848   0.8037   0.0346
  -4.000  -0.0463   0.01062   0.00364  -0.0846   0.7932   0.0352
  -3.750  -0.0194   0.01044   0.00338  -0.0843   0.7825   0.0360
  -3.500   0.0074   0.01020   0.00309  -0.0840   0.7721   0.0376
  -3.250   0.0346   0.01003   0.00288  -0.0838   0.7621   0.0390
  -3.000   0.0617   0.00989   0.00268  -0.0836   0.7520   0.0405
  -2.750   0.0889   0.00977   0.00251  -0.0834   0.7412   0.0423
  -2.500   0.1162   0.00965   0.00235  -0.0832   0.7310   0.0456
  -2.250   0.1433   0.00952   0.00222  -0.0829   0.7208   0.0527
  -2.000   0.1702   0.00938   0.00212  -0.0827   0.7093   0.0714
  -1.750   0.1972   0.00928   0.00202  -0.0825   0.6967   0.0875
  -1.500   0.2242   0.00917   0.00193  -0.0823   0.6854   0.1051
  -1.250   0.2512   0.00905   0.00186  -0.0821   0.6760   0.1316
  -1.000   0.2781   0.00887   0.00181  -0.0819   0.6662   0.1766
  -0.750   0.3050   0.00875   0.00177  -0.0818   0.6561   0.2148
  -0.500   0.3318   0.00866   0.00175  -0.0816   0.6449   0.2547
  -0.250   0.3585   0.00854   0.00174  -0.0814   0.6330   0.2998
   0.000   0.3850   0.00839   0.00173  -0.0811   0.6216   0.3573
   0.250   0.4113   0.00825   0.00174  -0.0809   0.6103   0.4205
   0.500   0.4365   0.00802   0.00176  -0.0804   0.5985   0.5211
   0.750   0.4588   0.00755   0.00183  -0.0793   0.5862   0.6956
   1.000   0.4792   0.00724   0.00194  -0.0774   0.5730   0.8399
   1.250   0.5069   0.00723   0.00204  -0.0769   0.5582   0.9260
   1.500   0.5482   0.00736   0.00211  -0.0797   0.5414   0.9714
   1.750   0.5852   0.00750   0.00216  -0.0816   0.5254   0.9868
   2.000   0.6205   0.00766   0.00222  -0.0833   0.5086   0.9958
   2.250   0.6517   0.00783   0.00229  -0.0842   0.4910   1.0000
   2.500   0.6752   0.00800   0.00238  -0.0833   0.4723   1.0000
   2.750   0.6985   0.00820   0.00247  -0.0824   0.4517   1.0000
   3.000   0.7218   0.00842   0.00258  -0.0815   0.4312   1.0000
   3.250   0.7451   0.00865   0.00271  -0.0806   0.4117   1.0000
   3.500   0.7686   0.00888   0.00284  -0.0797   0.3925   1.0000
   3.750   0.7923   0.00912   0.00299  -0.0790   0.3758   1.0000
   4.000   0.8161   0.00937   0.00316  -0.0782   0.3604   1.0000
   4.250   0.8397   0.00964   0.00334  -0.0775   0.3445   1.0000
   4.500   0.8636   0.00991   0.00353  -0.0768   0.3306   1.0000
